ms_subclass,ms_zoning,lot_frontage,lot_area,street,alley,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,condition_2,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod_add,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating,heating_qc,central_air,electrical,first_flr_sf,second_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_type,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,three_season_porch,screen_porch,pool_area,pool_qc,fence,misc_feature,mo_sold,year_sold,sale_type,sale_condition,sale_price,longitude,latitude
ONE_STORY_1946_AND_NEWER_ALL_STYLES,RESIDENTIAL_LOW_DENSITY,98,12704,PAVE,NO_ALLEY_ACCESS,REGULAR,LVL,ALLPUB,INSIDE,GTL,NORTHRIDGE_HEIGHTS,NORM,NORM,ONEFAM,ONE_STORY,VERY_GOOD,AVERAGE,2008,2009,HIP,COMPSHG,VINYLSD,VINYLSD,BRKFACE,306,EXCELLENT,TYPICAL,PCONC,EXCELLENT,TYPICAL,NO,UNF,7,UNF,0,2042,2042,GASA,EXCELLENT,Y,SBRKR,2042,0,0,2042,0,0,2,1,3,1,EXCELLENT,8,TYP,1,GOOD,ATTCHD,RFN,3,1390,TYPICAL,TYPICAL,PAVED,0,90,0,0,0,0,NO_POOL,NO_FENCE,NONE,8,2009,NEW,PARTIAL,253293,-93.654144,42.062992
ONE_STORY_PUD_1946_AND_NEWER,RESIDENTIAL_LOW_DENSITY,47,6904,PAVE,NO_ALLEY_ACCESS,SLIGHTLY_IRREGULAR,LVL,ALLPUB,INSIDE,GTL,NORTHRIDGE_HEIGHTS,NORM,NORM,TWNHSE,ONE_STORY,ABOVE_AVERAGE,AVERAGE,2005,2005,GABLE,COMPSHG,VINYLSD,VINYLSD,STONE,240,GOOD,TYPICAL,PCONC,GOOD,TYPICAL,AV,ALQ,1,UNF,0,522,1358,GASA,EXCELLENT,Y,SBRKR,1358,0,0,1358,0,0,2,0,2,1,GOOD,6,TYP,1,GOOD,ATTCHD,RFN,2,484,TYPICAL,TYPICAL,PAVED,192,36,0,0,0,0,NO_POOL,NO_FENCE,NONE,8,2009,WD,NORMAL,213000,-93.649779,42.059177
ONE_STORY_PUD_1946_AND_NEWER,RESIDENTIAL_LOW_DENSITY,34,5381,PAVE,NO_ALLEY_ACCESS,SLIGHTLY_IRREGULAR,LVL,ALLPUB,INSIDE,GTL,NORTHRIDGE_HEIGHTS,NORM,NORM,TWNHS,ONE_STORY,ABOVE_AVERAGE,AVERAGE,2005,2005,GABLE,COMPSHG,VINYLSD,VINYLSD,STONE,135,GOOD,TYPICAL,PCONC,GOOD,TYPICAL,AV,ALQ,1,UNF,0,406,1306,GASA,EXCELLENT,Y,SBRKR,1306,0,0,1306,1,0,2,0,1,1,GOOD,5,TYP,1,GOOD,ATTCHD,RFN,2,624,TYPICAL,TYPICAL,PAVED,170,63,0,0,0,0,NO_POOL,NO_FENCE,NONE,8,2009,WD,NORMAL,196000,-93.649743,42.059179
ONE_STORY_PUD_1946_AND_NEWER,RESIDENTIAL_LOW_DENSITY,43,3182,PAVE,NO_ALLEY_ACCESS,REGULAR,LVL,ALLPUB,INSIDE,GTL,BLOOMINGTON_HEIGHTS,NORM,NORM,TWNHSE,ONE_STORY,GOOD,AVERAGE,2005,2006,GABLE,COMPSHG,VINYLSD,VINYLSD,BRKFACE,16,GOOD,TYPICAL,PCONC,GOOD,TYPICAL,AV,GLQ,3,UNF,0,1204,1220,GASA,EXCELLENT,Y,SBRKR,1220,0,0,1220,0,0,2,0,2,1,GOOD,5,TYP,1,GOOD,ATTCHD,FIN,2,397,TYPICAL,TYPICAL,PAVED,100,16,0,0,0,0,NO_POOL,NO_FENCE,NONE,8,2009,WD,NORMAL,180000,-93.642911,42.062081
SPLIT_OR_MULTILEVEL,RESIDENTIAL_LOW_DENSITY,59,9434,PAVE,NO_ALLEY_ACCESS,SLIGHTLY_IRREGULAR,LVL,ALLPUB,INSIDE,GTL,GILBERT,NORM,NORM,ONEFAM,SLVL,GOOD,AVERAGE,2004,2005,GABLE,COMPSHG,WDSHING,WD_SHNG,NONE,0,GOOD,TYPICAL,PCONC,GOOD,TYPICAL,MN,UNF,7,UNF,0,384,384,GASA,EXCELLENT,Y,SBRKR,744,630,0,1374,0,0,2,1,3,1,GOOD,6,TYP,1,GOOD,BUILTIN,FIN,2,400,TYPICAL,TYPICAL,PAVED,100,0,0,0,0,0,NO_POOL,NO_FENCE,NONE,8,2009,WD,NORMAL,170000,-93.644106,42.061739
ONE_STORY_1946_AND_NEWER_ALL_STYLES,FLOATING_VILLAGE_RESIDENTIAL,68,8736,PAVE,NO_ALLEY_ACCESS,SLIGHTLY_IRREGULAR,LVL,ALLPUB,INSIDE,GTL,SOMERSET,NORM,NORM,ONEFAM,ONE_STORY,GOOD,AVERAGE,2003,2004,GABLE,COMPSHG,VINYLSD,WD_SHNG,NONE,0,GOOD,TYPICAL,PCONC,GOOD,TYPICAL,NO,GLQ,3,ALQ,360,422,1553,GASA,EXCELLENT,Y,SBRKR,1553,0,0,1553,1,0,2,0,3,1,GOOD,6,TYP,0,NO_FIREPLACE,ATTCHD,RFN,2,588,TYPICAL,TYPICAL,PAVED,192,88,0,0,0,0,NO_POOL,NO_FENCE,NONE,8,2009,WD,NORMAL,234500,-93.641501,42.051251
ONE_STORY_1946_AND_NEWER_ALL_STYLES,RESIDENTIAL_LOW_DENSITY,63,7500,PAVE,NO_ALLEY_ACCESS,REGULAR,LVL,ALLPUB,INSIDE,GTL,SAWYER_WEST,NORM,NORM,ONEFAM,ONE_STORY,ABOVE_AVERAGE,AVERAGE,2004,2004,GABLE,COMPSHG,VINYLSD,VINYLSD,NONE,0,TYPICAL,TYPICAL,PCONC,GOOD,TYPICAL,NO,UNF,7,UNF,0,1158,1158,GASA,EXCELLENT,Y,SBRKR,1158,0,0,1158,0,0,1,1,3,1,GOOD,5,TYP,0,NO_FIREPLACE,NO_GARAGE,NO_GARAGE,0,0,NO_GARAGE,NO_GARAGE,PAVED,0,50,0,0,0,0,NO_POOL,NO_FENCE,NONE,8,2009,WD,NORMAL,143500,-93.692472,42.037661
ONE_STORY_1946_AND_NEWER_ALL_STYLES,RESIDENTIAL_LOW_DENSITY,67,10083,PAVE,NO_ALLEY_ACCESS,REGULAR,LVL,ALLPUB,INSIDE,GTL,SAWYER_WEST,NORM,NORM,ONEFAM,ONE_STORY,GOOD,AVERAGE,2003,2003,GABLE,COMPSHG,VINYLSD,VINYLSD,NONE,0,GOOD,TYPICAL,PCONC,GOOD,TYPICAL,NO,GLQ,3,UNF,0,343,1176,GASA,EXCELLENT,Y,SBRKR,1200,0,0,1200,1,0,2,0,2,1,GOOD,5,TYP,0,NO_FIREPLACE,ATTCHD,RFN,2,555,TYPICAL,TYPICAL,PAVED,0,41,0,0,0,0,NO_POOL,NO_FENCE,NONE,8,2009,WD,NORMAL,184900,-93.691707,42.035282
ONE_STORY_1946_AND_NEWER_ALL_STYLES,RESIDENTIAL_LOW_DENSITY,63,13072,PAVE,NO_ALLEY_ACCESS,REGULAR,LVL,ALLPUB,INSIDE,GTL,SAWYER_WEST,RRAE,NORM,ONEFAM,ONE_STORY,AVERAGE,AVERAGE,2004,2004,GABLE,COMPSHG,VINYLSD,VINYLSD,NONE,0,TYPICAL,TYPICAL,PCONC,GOOD,TYPICAL,NO,UNF,7,UNF,0,1114,1114,GASA,EXCELLENT,Y,SBRKR,1114,0,0,1114,0,0,1,1,3,1,GOOD,6,TYP,0,NO_FIREPLACE,NO_GARAGE,NO_GARAGE,0,0,NO_GARAGE,NO_GARAGE,PAVED,0,39,0,0,0,0,NO_POOL,NO_FENCE,NONE,8,2009,WD,NORMAL,142000,-93.691068,42.038127
TWO_STORY_PUD_1946_AND_NEWER,FLOATING_VILLAGE_RESIDENTIAL,34,2998,PAVE,NO_ALLEY_ACCESS,REGULAR,LVL,ALLPUB,INSIDE,GTL,SOMERSET,NORM,NORM,TWNHSE,TWO_STORY,ABOVE_AVERAGE,AVERAGE,2000,2000,GABLE,COMPSHG,METALSD,METALSD,BRKFACE,513,GOOD,TYPICAL,PCONC,GOOD,TYPICAL,NO,GLQ,3,UNF,0,249,756,GASA,EXCELLENT,Y,SBRKR,756,756,0,1512,1,0,2,1,2,1,GOOD,4,TYP,0,NO_FIREPLACE,DETCHD,UNF,2,440,TYPICAL,TYPICAL,PAVED,0,32,0,0,0,0,NO_POOL,NO_FENCE,NONE,8,2009,WD,NORMAL,180000,-93.64566,42.046144
TWO_STORY_PUD_1946_AND_NEWER,FLOATING_VILLAGE_RESIDENTIAL,24,2645,PAVE,PAVED,REGULAR,LVL,ALLPUB,INSIDE,GTL,SOMERSET,NORM,NORM,TWNHS,TWO_STORY,VERY_GOOD,AVERAGE,1999,2000,GABLE,COMPSHG,METALSD,METALSD,BRKFACE,456,GOOD,TYPICAL,PCONC,GOOD,TYPICAL,NO,GLQ,3,UNF,0,321,970,GASA,EXCELLENT,Y,SBRKR,983,756,0,1739,1,0,2,1,3,1,GOOD,7,TYP,0,NO_FIREPLACE,ATTCHD,FIN,2,480,TYPICAL,TYPICAL,PAVED,115,0,0,0,0,0,NO_POOL,NO_FENCE,NONE,8,2009,WD,ABNORML,172500,-93.641799,42.047171
ONE_STORY_1946_AND_NEWER_ALL_STYLES,RESIDENTIAL_LOW_DENSITY,0,9156,PAVE,NO_ALLEY_ACCESS,SLIGHTLY_IRREGULAR,LVL,ALLPUB,INSIDE,GTL,NORTHWEST_AMES,POSN,NORM,ONEFAM,ONE_STORY,ABOVE_AVERAGE,GOOD,1968,1968,HIP,COMPSHG,BRKFACE,BRKFACE,NONE,0,TYPICAL,TYPICAL,CBLOCK,TYPICAL,TYPICAL,NO,UNF,7,UNF,0,1489,1489,GASA,GOOD,Y,SBRKR,1489,0,0,1489,0,0,2,0,3,1,GOOD,7,TYP,1,GOOD,ATTCHD,RFN,2,462,TYPICAL,TYPICAL,PAVED,0,0,0,0,0,0,NO_POOL,NO_FENCE,NONE,8,2009,WD,NORMAL,185750,-93.634803,42.04896
ONE_STORY_1946_AND_NEWER_ALL_STYLES,RESIDENTIAL_LOW_DENSITY,80,9600,PAVE,NO_ALLEY_ACCESS,REGULAR,LVL,ALLPUB,INSIDE,GTL,NORTHWEST_AMES,FEEDR,NORM,ONEFAM,ONE_STORY,AVERAGE,AVERAGE,1969,1969,GABLE,COMPSHG,HDBOARD,HDBOARD,BRKFACE,128,TYPICAL,TYPICAL,CBLOCK,GOOD,TYPICAL,MN,ALQ,1,REC,147,588,1288,GASA,TYPICAL,Y,SBRKR,1336,0,0,1336,0,1,2,0,3,1,TYPICAL,6,TYP,1,FAIR,ATTCHD,RFN,2,502,TYPICAL,TYPICAL,PAVED,312,11,0,0,0,0,NO_POOL,NO_FENCE,SHED,8,2009,WD,NORMAL,163000,-93.632537,42.045806
ONE_STORY_1946_AND_NEWER_ALL_STYLES,RESIDENTIAL_LOW_DENSITY,75,9000,PAVE,NO_ALLEY_ACCESS,REGULAR,LVL,ALLPUB,INSIDE,GTL,NORTHWEST_AMES,FEEDR,NORM,ONEFAM,ONE_STORY,ABOVE_AVERAGE,AVERAGE,1969,1969,GABLE,COMPSHG,HDBOARD,HDBOARD,BRKFACE,200,TYPICAL,TYPICAL,CBLOCK,TYPICAL,TYPICAL,AV,BLQ,2,UNF,0,261,1216,GASA,TYPICAL,Y,SBRKR,1216,0,0,1216,1,0,1,0,3,1,TYPICAL,5,TYP,0,NO_FIREPLACE,ATTCHD,UNF,1,336,TYPICAL,TYPICAL,PAVED,0,0,0,0,0,0,NO_POOL,MINIMUM_PRIVACY,NONE,8,2009,WD,ABNORML,113000,-93.632823,42.045799
ONE_STORY_1946_AND_NEWER_ALL_STYLES,RESIDENTIAL_LOW_DENSITY,60,7436,PAVE,NO_ALLEY_ACCESS,REGULAR,LVL,ALLPUB,INSIDE,GTL,NORTH_AMES,NORM,NORM,ONEFAM,ONE_STORY,BELOW_AVERAGE,GOOD,1960,1960,GABLE,COMPSHG,VINYLSD,VINYLSD,NONE,0,TYPICAL,TYPICAL,CBLOCK,TYPICAL,TYPICAL,NO,ALQ,1,UNF,0,160,894,GASA,GOOD,Y,SBRKR,894,0,0,894,1,0,1,0,2,1,TYPICAL,5,TYP,1,POOR,DETCHD,UNF,2,396,TYPICAL,TYPICAL,PAVED,0,0,0,360,0,0,NO_POOL,GOOD_WOOD,NONE,8,2009,WD,NORMAL,141500,-93.622991,42.043135
SPLIT_OR_MULTILEVEL,RESIDENTIAL_LOW_DENSITY,0,12095,PAVE,NO_ALLEY_ACCESS,SLIGHTLY_IRREGULAR,LVL,ALLPUB,CORNER,GTL,NORTH_AMES,NORM,NORM,ONEFAM,SLVL,ABOVE_AVERAGE,ABOVE_AVERAGE,1964,1964,GABLE,COMPSHG,METALSD,HDBOARD,BRKFACE,115,TYPICAL,GOOD,CBLOCK,TYPICAL,TYPICAL,GD,REC,6,UNF,0,563,1127,GASA,TYPICAL,Y,SBRKR,1445,0,0,1445,0,0,1,1,3,1,TYPICAL,7,TYP,1,FAIR,ATTCHD,RFN,2,645,TYPICAL,TYPICAL,PAVED,180,0,0,0,0,0,NO_POOL,MINIMUM_PRIVACY,NONE,8,2009,WD,NORMAL,158000,-93.626979,42.040888
ONE_STORY_1946_AND_NEWER_ALL_STYLES,RESIDENTIAL_LOW_DENSITY,0,12285,PAVE,NO_ALLEY_ACCESS,SLIGHTLY_IRREGULAR,LVL,ALLPUB,INSIDE,GTL,NORTH_AMES,NORM,NORM,ONEFAM,ONE_STORY,GOOD,ABOVE_AVERAGE,1960,1960,GABLE,COMPSHG,PLYWOOD,PLYWOOD,BRKFACE,128,TYPICAL,TYPICAL,CBLOCK,TYPICAL,TYPICAL,NO,BLQ,2,UNF,0,785,1329,GASA,GOOD,Y,SBRKR,1329,0,0,1329,0,0,1,1,3,1,TYPICAL,5,TYP,2,GOOD,ATTCHD,UNF,2,441,TYPICAL,TYPICAL,PAVED,0,0,203,0,0,0,NO_POOL,NO_FENCE,NONE,8,2009,WD,NORMAL,176000,-93.61488,42.043991
ONE_STORY_1945_AND_OLDER,RESIDENTIAL_LOW_DENSITY,80,8480,PAVE,NO_ALLEY_ACCESS,REGULAR,LVL,ALLPUB,CORNER,GTL,NORTH_AMES,NORM,NORM,ONEFAM,ONE_STORY,AVERAGE,ABOVE_AVERAGE,1945,1950,GABLE,COMPSHG,METALSD,METALSD,NONE,0,TYPICAL,GOOD,CBLOCK,TYPICAL,TYPICAL,NO,BLQ,2,UNF,0,93,793,GASA,TYPICAL,Y,SBRKR,793,0,0,793,1,0,1,0,2,1,FAIR,4,TYP,0,NO_FIREPLACE,DETCHD,UNF,1,240,TYPICAL,TYPICAL,PAVED,0,0,0,0,0,0,NO_POOL,NO_FENCE,NONE,8,2009,WD,NORMAL,113000,-93.6167912,42.0372232
ONE_STORY_1946_AND_NEWER_ALL_STYLES,RESIDENTIAL_LOW_DENSITY,75,9533,PAVE,NO_ALLEY_ACCESS,REGULAR,LVL,ALLPUB,INSIDE,GTL,NORTH_AMES,NORM,NORM,ONEFAM,ONE_STORY,AVERAGE,AVERAGE,1953,1953,HIP,COMPSHG,WD_SDNG,WD_SDNG,BRKFACE,140,TYPICAL,TYPICAL,SLAB,NO_BASEMENT,NO_BASEMENT,NO_BASEMENT,NO_BASEMENT,5,NO_BASEMENT,0,0,0,GASA,TYPICAL,Y,FUSEA,1210,0,0,1210,0,0,1,1,2,1,TYPICAL,7,TYP,0,NO_FIREPLACE,ATTCHD,FIN,1,616,TYPICAL,TYPICAL,PAVED,208,0,100,0,0,0,NO_POOL,MINIMUM_PRIVACY,NONE,8,2009,CONLD,NORMAL,102900,-93.618607,42.034686
TWO_FAMILY_CONVERSION_ALL_STYLES_AND_AGES,RESIDENTIAL_LOW_DENSITY,107,10615,PAVE,NO_ALLEY_ACCESS,SLIGHTLY_IRREGULAR,BNK,ALLPUB,CORNER,MOD,OLD_TOWN,ARTERY,ARTERY,TWOFMCON,TWO_STORY,FAIR,AVERAGE,1900,1970,GABLE,COMPSHG,HDBOARD,HDBOARD,NONE,0,TYPICAL,TYPICAL,CBLOCK,FAIR,TYPICAL,MN,BLQ,2,UNF,0,538,978,GASA,TYPICAL,Y,SBRKR,1014,685,0,1699,1,0,2,0,3,2,TYPICAL,7,TYP,0,NO_FIREPLACE,CARPORT,UNF,2,420,FAIR,FAIR,PAVED,0,74,0,0,0,0,NO_POOL,NO_FENCE,NONE,8,2009,WD,ABNORML,95000,-93.62008,42.034754
ONE_STORY_1946_AND_NEWER_ALL_STYLES,RESIDENTIAL_LOW_DENSITY,60,9600,PAVE,NO_ALLEY_ACCESS,REGULAR,LVL,ALLPUB,INSIDE,GTL,NORTH_AMES,NORM,NORM,ONEFAM,ONE_STORY,AVERAGE,ABOVE_AVERAGE,1950,1950,GABLE,COMPSHG,WD_SDNG,WD_SDNG,NONE,0,TYPICAL,TYPICAL,CBLOCK,TYPICAL,TYPICAL,NO,BLQ,2,UNF,0,810,1200,GASA,TYPICAL,Y,SBRKR,1200,0,0,1200,0,0,1,0,3,1,TYPICAL,6,TYP,0,NO_FIREPLACE,ATTCHD,FIN,1,246,TYPICAL,TYPICAL,PAVED,126,0,0,0,0,0,NO_POOL,GOOD_WOOD,NONE,8,2009,WD,NORMAL,129900,-93.61719,42.035829
ONE_STORY_1946_AND_NEWER_ALL_STYLES,RESIDENTIAL_LOW_DENSITY,53,5470,PAVE,NO_ALLEY_ACCESS,REGULAR,LVL,ALLPUB,INSIDE,GTL,OLD_TOWN,NORM,NORM,ONEFAM,ONE_STORY,FAIR,AVERAGE,1958,1958,GABLE,COMPSHG,METALSD,METALSD,NONE,0,TYPICAL,TYPICAL,CBLOCK,TYPICAL,TYPICAL,NO,UNF,7,UNF,0,792,792,GASA,GOOD,Y,FUSEA,792,0,0,792,0,0,1,0,2,1,TYPICAL,4,TYP,0,NO_FIREPLACE,ATTCHD,UNF,1,366,FAIR,TYPICAL,PAVED,0,90,0,0,0,0,NO_POOL,NO_FENCE,NONE,8,2009,WD,NORMAL,99900,-93.6146206,42.0380659
ONE_AND_HALF_STORY_FINISHED_ALL_AGES,RESIDENTIAL_LOW_DENSITY,60,10410,PAVE,NO_ALLEY_ACCESS,REGULAR,LVL,ALLPUB,INSIDE,GTL,OLD_TOWN,NORM,NORM,ONEFAM,ONE_AND_HALF_FIN,AVERAGE,GOOD,1916,1987,GABLE,COMPSHG,HDBOARD,HDBOARD,NONE,0,TYPICAL,TYPICAL,CBLOCK,FAIR,TYPICAL,NO,UNF,7,UNF,0,660,660,GASA,EXCELLENT,Y,SBRKR,808,704,144,1656,0,0,2,1,3,1,TYPICAL,8,MIN2,0,NO_FIREPLACE,DETCHD,UNF,1,180,FAIR,FAIR,DIRT_GRAVEL,0,0,0,140,0,0,NO_POOL,MINIMUM_PRIVACY,NONE,8,2009,WD,NORMAL,135000,-93.6144209,42.037679
TWO_STORY_1946_AND_NEWER,RESIDENTIAL_LOW_DENSITY,60,10800,PAVE,NO_ALLEY_ACCESS,REGULAR,LVL,ALLPUB,INSIDE,GTL,OLD_TOWN,NORM,NORM,ONEFAM,TWO_STORY,AVERAGE,GOOD,1939,2006,GABLE,COMPSHG,VINYLSD,VINYLSD,NONE,0,TYPICAL,GOOD,BRKTIL,TYPICAL,TYPICAL,NO,UNF,7,UNF,0,676,676,GASA,EXCELLENT,Y,SBRKR,676,676,0,1352,0,1,2,0,4,1,GOOD,7,TYP,0,NO_FIREPLACE,DETCHD,UNF,2,720,TYPICAL,TYPICAL,PAVED,187,0,128,0,0,0,NO_POOL,NO_FENCE,NONE,8,2009,WD,NORMAL,149000,-93.61239,42.037144
TWO_STORY_1945_AND_OLDER,RESIDENTIAL_LOW_DENSITY,60,7200,PAVE,NO_ALLEY_ACCESS,REGULAR,LVL,ALLPUB,CORNER,GTL,OLD_TOWN,ARTERY,NORM,ONEFAM,TWO_STORY,GOOD,EXCELLENT,1910,2008,GABLE,COMPSHG,VINYLSD,VINYLSD,NONE,0,GOOD,GOOD,PCONC,TYPICAL,TYPICAL,NO,UNF,7,UNF,0,560,560,GASA,EXCELLENT,Y,SBRKR,930,760,0,1690,0,0,2,0,4,1,GOOD,5,TYP,0,NO_FIREPLACE,DETCHD,UNF,2,624,TYPICAL,TYPICAL,PAVED,0,0,112,0,0,0,NO_POOL,NO_FENCE,NONE,8,2009,WD,NORMAL,156500,-93.613899,42.034574
DUPLEX_ALL_STYLES_AND_AGES,RESIDENTIAL_LOW_DENSITY,81,9671,PAVE,NO_ALLEY_ACCESS,REGULAR,LVL,ALLPUB,CORNER,GTL,NORTH_AMES,ARTERY,NORM,DUPLEX,TWO_STORY,ABOVE_AVERAGE,AVERAGE,1969,1969,GABLE,COMPSHG,METALSD,METALSD,STONE,480,TYPICAL,TYPICAL,CBLOCK,TYPICAL,TYPICAL,NO,UNF,7,UNF,0,1248,1248,GASA,TYPICAL,Y,SBRKR,1248,1296,0,2544,0,0,2,2,6,2,TYPICAL,12,TYP,0,NO_FIREPLACE,ATTCHD,RFN,3,907,TYPICAL,TYPICAL,PAVED,0,0,0,0,0,0,NO_POOL,NO_FENCE,NONE,8,2009,WD,NORMAL,190000,-93.610355,42.0417879
DUPLEX_ALL_STYLES_AND_AGES,RESIDENTIAL_LOW_DENSITY,91,11643,PAVE,NO_ALLEY_ACCESS,REGULAR,LVL,ALLPUB,INSIDE,GTL,NORTH_AMES,ARTERY,NORM,DUPLEX,TWO_STORY,AVERAGE,AVERAGE,1969,1969,GABLE,COMPSHG,METALSD,METALSD,BRKFACE,368,TYPICAL,TYPICAL,CBLOCK,TYPICAL,TYPICAL,NO,LWQ,4,UNF,0,748,1248,GASA,TYPICAL,Y,SBRKR,1338,1296,0,2634,1,1,2,2,6,2,TYPICAL,12,TYP,0,NO_FIREPLACE,DETCHD,UNF,4,968,TYPICAL,TYPICAL,PAVED,0,0,0,0,0,0,NO_POOL,NO_FENCE,NONE,8,2009,WD,NORMAL,200000,-93.610649,42.04124
ONE_AND_HALF_STORY_FINISHED_ALL_AGES,RESIDENTIAL_LOW_DENSITY,60,10800,PAVE,NO_ALLEY_ACCESS,REGULAR,LVL,ALLPUB,INSIDE,GTL,NORTH_AMES,ARTERY,NORM,ONEFAM,ONE_AND_HALF_FIN,BELOW_AVERAGE,GOOD,1949,1996,GABLE,COMPSHG,METALSD,METALSD,NONE,0,TYPICAL,TYPICAL,CBLOCK,TYPICAL,TYPICAL,NO,UNF,7,UNF,0,832,832,GASA,TYPICAL,Y,FUSEF,832,629,0,1461,0,0,2,0,4,1,TYPICAL,6,TYP,0,NO_FIREPLACE,DETCHD,UNF,1,384,TYPICAL,TYPICAL,PAVED,0,204,0,0,0,0,NO_POOL,NO_FENCE,NONE,8,2009,WD,NORMAL,133500,-93.609945,42.0347542
ONE_AND_HALF_STORY_FINISHED_ALL_AGES,RESIDENTIAL_LOW_DENSITY,60,8064,PAVE,NO_ALLEY_ACCESS,REGULAR,LVL,ALLPUB,CORNER,GTL,NORTH_AMES,ARTERY,NORM,ONEFAM,ONE_AND_HALF_FIN,ABOVE_AVERAGE,GOOD,1948,1994,GABLE,COMPSHG,METALSD,METALSD,NONE,0,TYPICAL,TYPICAL,CBLOCK,TYPICAL,TYPICAL,NO,LWQ,4,UNF,0,744,864,GASA,TYPICAL,Y,SBRKR,1064,0,431,1495,0,0,1,0,3,1,TYPICAL,6,TYP,0,NO_FIREPLACE,DETCHD,UNF,2,576,TYPICAL,TYPICAL,PAVED,180,36,0,0,0,0,NO_POOL,NO_FENCE,NONE,8,2009,COD,ABNORML,135000,-93.610605,42.034858
ONE_STORY_1946_AND_NEWER_ALL_STYLES,RESIDENTIAL_LOW_DENSITY,60,6600,PAVE,NO_ALLEY_ACCESS,REGULAR,LVL,ALLPUB,INSIDE,GTL,NORTH_AMES,POSN,NORM,ONEFAM,ONE_STORY,AVERAGE,AVERAGE,1962,1962,HIP,COMPSHG,METALSD,METALSD,NONE,0,TYPICAL,TYPICAL,CBLOCK,TYPICAL,TYPICAL,NO,UNF,7,UNF,0,894,894,GASA,GOOD,N,SBRKR,894,0,0,894,0,0,1,0,2,1,TYPICAL,5,TYP,0,NO_FIREPLACE,DETCHD,UNF,1,308,TYPICAL,TYPICAL,PAVED,0,0,0,0,0,0,NO_POOL,NO_FENCE,NONE,8,2009,WD,NORMAL,109500,-93.603701,42.035287
ONE_AND_HALF_STORY_FINISHED_ALL_AGES,RESIDENTIAL_MEDIUM_DENSITY,52,5720,PAVE,NO_ALLEY_ACCESS,REGULAR,LVL,ALLPUB,INSIDE,GTL,OLD_TOWN,ARTERY,NORM,ONEFAM,ONE_AND_HALF_FIN,AVERAGE,ABOVE_AVERAGE,1941,1950,GABLE,COMPSHG,WD_SDNG,WD_SDNG,NONE,0,TYPICAL,TYPICAL,CBLOCK,TYPICAL,TYPICAL,NO,UNF,7,UNF,0,676,676,GASA,EXCELLENT,Y,SBRKR,676,455,0,1131,0,0,1,1,3,1,TYPICAL,5,TYP,0,NO_FIREPLACE,DETCHD,UNF,1,200,TYPICAL,TYPICAL,PAVED,26,0,0,0,0,0,NO_POOL,NO_FENCE,NONE,8,2009,WD,ABNORML,66500,-93.62026,42.032396
ONE_STORY_1945_AND_OLDER,RESIDENTIAL_MEDIUM_DENSITY,50,8635,PAVE,NO_ALLEY_ACCESS,REGULAR,LVL,ALLPUB,INSIDE,GTL,BROOKSIDE,NORM,NORM,ONEFAM,ONE_STORY,AVERAGE,AVERAGE,1925,1950,HIP,COMPSHG,WD_SDNG,WD_SDNG,NONE,0,TYPICAL,FAIR,BRKTIL,TYPICAL,TYPICAL,NO,LWQ,4,UNF,0,938,1072,GASA,TYPICAL,Y,SBRKR,1072,0,0,1072,1,0,1,0,2,1,TYPICAL,5,TYP,0,NO_FIREPLACE,DETCHD,UNF,5,1184,FAIR,TYPICAL,PARTIAL_PAVEMENT,0,0,105,0,0,0,NO_POOL,NO_FENCE,NONE,8,2009,WD,NORMAL,126500,-93.6213592,42.0310861
TWO_STORY_1945_AND_OLDER,RESIDENTIAL_MEDIUM_DENSITY,57,6876,PAVE,NO_ALLEY_ACCESS,REGULAR,LVL,ALLPUB,INSIDE,GTL,IOWA_DOT_AND_RAIL_ROAD,NORM,NORM,ONEFAM,TWO_STORY,ABOVE_AVERAGE,AVERAGE,1927,1950,GABLE,COMPSHG,PLYWOOD,PLYWOOD,NONE,0,TYPICAL,TYPICAL,CBLOCK,TYPICAL,FAIR,NO,BLQ,2,UNF,0,198,720,GASA,FAIR,Y,SBRKR,1146,784,0,1930,1,0,2,0,4,1,TYPICAL,8,TYP,0,NO_FIREPLACE,ATTCHD,UNF,1,316,TYPICAL,TYPICAL,PAVED,0,0,213,0,0,0,NO_POOL,MINIMUM_PRIVACY,NONE,8,2009,WD,NORMAL,149000,-93.628299,42.025306
